iter	Logloss
0	0.6829206312
1	0.6741038286
2	0.6668516004
3	0.6603269704
4	0.6541282201
5	0.6491012953
6	0.6448931276
7	0.641202428
8	0.6378982978
9	0.6351417481
10	0.6326831031
11	0.6289265105
12	0.6261971591
13	0.623791771
14	0.6216937087
15	0.6201267962
16	0.6185439519
17	0.6169869381
18	0.615472591
19	0.6143117942
20	0.613304654
21	0.6123787459
22	0.6109071141
23	0.6098795518
24	0.6085401852
25	0.6078518437
26	0.6070629049
27	0.6058257726
28	0.6052323439
29	0.6045302409
30	0.6038208707
31	0.6031226743
32	0.6026232276
33	0.6019376477
34	0.6015199391
35	0.6011388838
36	0.6002348816
37	0.5997347621
38	0.5994099291
39	0.5990275745
40	0.5986443815
41	0.598336275
42	0.5980251657
43	0.5976961331
44	0.5973860801
45	0.596973921
46	0.5967668309
47	0.5961159781
48	0.5959058276
49	0.5956982833
50	0.5954891015
51	0.5953319424
52	0.5950809509
53	0.5948956582
54	0.5947219033
55	0.5945718031
56	0.5943826262
57	0.5942736754
58	0.5936377713
59	0.5934627306
60	0.592953326
61	0.5925285719
62	0.592309501
63	0.5922058719
64	0.5921242244
65	0.5920122065
66	0.5915926706
67	0.5913678648
68	0.5911856774
69	0.591114066
70	0.590884138
71	0.5905788014
72	0.590449413
73	0.5903905727
74	0.5902971104
75	0.5902132315
76	0.5900151783
77	0.5898952311
78	0.5897805216
79	0.5896513682
80	0.5895489505
81	0.5891468747
82	0.5889950716
83	0.5888171888
84	0.588723337
85	0.5885166507
86	0.5883785441
87	0.5882694973
88	0.5880986313
89	0.5878877969
90	0.5877265618
91	0.5876169543
92	0.5875562806
93	0.5871832239
94	0.5870207872
95	0.5868459097
96	0.586741411
97	0.5866989888
98	0.5866790814
99	0.5865360122
