iter	Passed	Remaining
0	170	16865
1	194	9510
2	217	7019
3	240	5760
4	264	5016
5	286	4484
6	307	4091
7	329	3794
8	351	3556
9	373	3360
10	398	3223
11	421	3093
12	455	3049
13	478	2938
14	501	2839
15	523	2750
16	545	2662
17	567	2585
18	589	2513
19	611	2446
20	633	2382
21	656	2326
22	677	2267
23	697	2209
24	718	2154
25	740	2107
26	760	2056
27	780	2007
28	802	1963
29	823	1922
30	844	1879
31	865	1839
32	886	1800
33	906	1760
34	927	1722
35	949	1688
36	969	1651
37	990	1616
38	1011	1581
39	1031	1547
40	1052	1515
41	1073	1483
42	1096	1453
43	1119	1424
44	1140	1393
45	1161	1363
46	1182	1333
47	1203	1303
48	1226	1276
49	1249	1249
50	1271	1221
51	1294	1194
52	1316	1167
53	1338	1139
54	1361	1113
55	1383	1087
56	1405	1060
57	1427	1033
58	1449	1007
59	1472	981
60	1495	956
61	1518	930
62	1540	904
63	1562	878
64	1584	853
65	1608	828
66	1631	803
67	1653	778
68	1676	753
69	1698	728
70	1720	702
71	1742	677
72	1763	652
73	1785	627
74	1806	602
75	1828	577
76	1851	553
77	1872	528
78	1893	503
79	1915	478
80	1937	454
81	1960	430
82	1980	405
83	2001	381
84	2023	357
85	2045	333
86	2067	308
87	2091	285
88	2113	261
89	2135	237
90	2157	213
91	2180	189
92	2202	165
93	2223	141
94	2243	118
95	2265	94
96	2287	70
97	2309	47
98	2330	23
99	2353	0
